Pro_Code1,Pro_Code,Dis_Code1,Dis_Code,Vill_Code1,Vill_Code,Village_Code,Vill_Name,Village_Status,HH_Total,People_Total,Women_Total,Etnhics_Majority,Project,Road_Access,Name_HC,Facility_code,Km_HC,Name_DH,Km_DH,Name_PH,Km_PH,Avg_HH_Size,Poor_HH,Expost_Code,Village_Town,HEF_Members1,SHEF_Members,DH_catg,Mem_Year
15,15,2,1502,83,083,1502083,®û¾­º¾Àë¾½Ã¹È¨Œº¾Àë¾½­Éº¨,,59,238,55,2,3,,DH,26,,,88,SK-PH,, 4.0 ,,391,, 238 ,100%,E. 51-100,2014
15,15,2,1502,84,084,1502084,   ®û¾­ º¾®õ­,,33,180,92,2,3,,DH,26,,,100,SK-PH,, 5.5 ,,392,, 180 ,100%,E. 51-100,2014
15,15,3,1503,1,001,1503001,    ®û¾­ ®ëº¤Ã¹È¨,,27,234,167,2,3,,DH,27,,,100,SK-PH,, 8.7 ,,209,, 234 ,100%,E. 51-100,2014
15,15,3,1503,2,002,1503002,    ®û¾­ ®ëº¤­Éº¨,,59,395,55,2,3,,DH,27,,,100,SK-PH,, 6.7 ,,210,, 395 ,100%,E. 51-100,2014
15,15,3,1503,3,003,1503003,    ®û¾­ ©¾¡¯½ÀÎò,,25,214,94,2,3,,DH,27,,,105,SK-PH,, 8.6 ,,211,, 214 ,100%,F. 100+,2014
15,15,3,1503,5,005,1503005,    ®û¾­ ©¾¡ªë¾¤,,29,148,105,2,3,,DH,27,,,36,SK-PH,, 5.1 ,,212,, 148 ,100%,D. 21-50,2014
15,15,3,1503,6,006,1503006,    ®û¾­ ©¾¡´÷¤,,26,188,75,2,3,,DH,27,,,42,SK-PH,, 7.2 ,,213,, 188 ,100%,D. 21-50,2014
15,15,3,1503,7,007,1503007,    ®û¾­ ©¾¡´ó,,24,166,82,2,3,,DH,27,,,36,SK-PH,, 6.9 ,,214,, 166 ,100%,D. 21-50,2014
15,15,3,1503,8,008,1503008,    ®û¾­ ©¾¡À¡û,,52,345,93,2,3,,DH,27,,,50,SK-PH,, 6.6 ,,215,, 345 ,100%,E. 51-100,2014
15,15,3,1503,9,009,1503009,    ®û¾­ ¸ñ¤ìó,,,,27,2,3,,DH,27,,,50,SK-PH,,#DIV/0!,,216,,0,#DIV/0!,E. 51-100,2014
15,15,3,1503,12,012,1503012,    ®û¾­ ©¾¡¡¿,,,,64,2,3,,DH,27,,,65,SK-PH,,#DIV/0!,,217,,0,#DIV/0!,E. 51-100,2014
15,15,3,1503,14,014,1503014,    ®û¾­ À¯¤µ¾,,,,68,2,3,,DH,27,,,42,SK-PH,,#DIV/0!,,218,,0,#DIV/0!,D. 21-50,2014
15,15,3,1503,15,015,1503015,    ®û¾­ ©¾¡§¿,,,,41,2,3,,DH,27,,,43,SK-PH,,#DIV/0!,,219,,0,#DIV/0!,D. 21-50,2014
15,15,3,1503,17,017,1503017,    ®û¾­ Àªëó®,,82,627,269,2,3,,XL,27a,,,35,SK-PH,, 7.6 ,,220,, 627 ,100%,D. 21-50,2014
